DB00001	Lepirudin	OTQCKZUSUGYWBD-BRHMIFOHSA-N
DB01303	Oxtriphylline	RLANKEDHRWMNRO-UHFFFAOYSA-M
DB01306	Insulin Aspart	VOMXSOIBEJBQNF-UTTRGDHVSA-N
DB01310	Insulin Lispro	WNRQPCUGRUFHED-DETKDSODSA-N
DB01319	Fosamprenavir	MLBVMOWEQCZNCC-OEMFJLHTSA-N
DB01320	Fosphenytoin	XWLUWCNOOVRFPX-UHFFFAOYSA-N
DB01321	Josamycin	XJSFLOJWULLJQS-NGVXBBESSA-N
DB01322	Kava	OMNGEVNATYFZGG-BQYQJAHWSA-N
DB01324	Polythiazide	CYLWJCABXYDINA-UHFFFAOYSA-N
DB01325	Quinethazone	AGMMTXLNIQSRCG-UHFFFAOYSA-N
DB01326	Cefamandole	OLVCFLKTBJRLHI-AXAPSJFSSA-N
DB01327	Cefazolin	MLYYVTUWGNIJIB-BXKDBHETSA-N
DB01328	Cefonicid	DYAIAHUQIPBDIP-AXAPSJFSSA-N
DB01329	Cefoperazone	GCFBRXLSHGKWDP-XCGNWRKASA-N
DB01330	Cefotetan	SRZNHPXWXCNNDU-IXOPCIAXSA-N
DB01331	Cefoxitin	WZOZEZRFJCJXNZ-ZBFHGGJFSA-N
DB01332	Ceftizoxime	NNULBSISHYWZJU-LLKWHZGFSA-N
DB01333	Cefradine	RDLPVSKMFDYCOR-UEKVPHQBSA-N
DB01334	Doxacurium	GBLRQXKSCRCLBZ-UHFFFAOYSA-N
DB01336	Metocurine	JFXBEKISTKFVAB-AJQTZOPKSA-N
DB01337	Pancuronium	GVEAYVLWDAFXET-XGHATYIMSA-N
DB01338	Pipecuronium	OWWLUIWOFHMHOQ-XGHATYIMSA-N
DB01339	Vecuronium	BGSZAXLLHYERSY-XQIGCQGXSA-N
DB01340	Cilazapril	HHHKFGXWKKUNCY-FHWLQOOXSA-N
DB01342	Forasartan	YONOBYIBNBCDSJ-UHFFFAOYSA-N
DB01345	Potassium cation	NPYPAHLBTDXSSS-UHFFFAOYSA-N
DB01346	Quinidine barbiturate	YHRUERMOPBDCFD-UHFFFAOYSA-N
DB01347	Saprisartan	DUEWVPTZCSAMNB-UHFFFAOYSA-N
DB01348	Spirapril	HRWCVUIFMSZDJS-SZMVWBNQSA-N
DB01349	Tasosartan	ADXGNEYLLLSOAR-UHFFFAOYSA-N
DB01351	Amobarbital	VIROVYVQCGLCII-UHFFFAOYSA-N
DB01352	Aprobarbital	UORJNBVJVRLXMQ-UHFFFAOYSA-N
DB01353	Butobarbital	STDBAQMTJLUMFW-UHFFFAOYSA-N
DB01354	Heptabarbital	PAZQYDJGLKSCSI-UHFFFAOYSA-N
DB01355	Hexobarbital	UYXAWHWODHRRMR-UHFFFAOYSA-N
DB01356	Lithium cation	HBBGRARXTFLTSG-UHFFFAOYSA-N
DB01357	Mestranol	IMSSROKUHAOUJS-MJCUULBUSA-N
DB01359	Penbutolol	KQXKVJAGOJTNJS-HNNXBMFYSA-N
DB01361	Troleandomycin	LQCLVBQBTUVCEQ-QTFUVMRISA-N
DB01362	Iohexol	NTHXOOBQLCIOLC-UHFFFAOYSA-N
DB01364	Ephedrine	KWGRBVOPPLSCSI-WPRPVWTQSA-N
DB01365	Mephentermine	RXQCGGRTAILOIN-UHFFFAOYSA-N
DB01366	Procaterol	FKNXQNWAXFXVNW-BLLLJJGKSA-N
DB01367	Rasagiline	RUOKEQAAGRXIBM-GFCCVEGCSA-N
DB01369	Quinupristin	WTHRRGMBUAHGNI-LCYNINFDSA-N
DB01370	Aluminium	XAGFODPZIPBFFR-UHFFFAOYSA-N
DB01373	Calcium	OYPRJOBELJOOCE-UHFFFAOYSA-N
DB01375	Aluminium monostearate	UGMCXQCYOVCMTB-UHFFFAOYSA-K
DB01377	Magnesium oxide	AXZKOIWUVFPNLO-UHFFFAOYSA-N
DB01378	Magnesium cation	JLVVSXFLKOJNIY-UHFFFAOYSA-N
DB01380	Cortisone acetate	ITRJWOMZKQRYTA-RFZYENFJSA-N
DB01382	Glymidine	QFWPJPIVLCBXFJ-UHFFFAOYSA-N
DB01383	Insulin Human	PBGKTOXHQIOBKM-FHFVDXKLSA-N
DB01384	Paramethasone	MKPDWECBUAZOHP-AFYJWTTESA-N
DB01388	Mibefradil	HBNPJJILLOYFJU-VMPREFPWSA-N
DB01390	Sodium bicarbonate	UIIMBOGNXHQVGW-UHFFFAOYSA-M
DB01392	Yohimbine	BLGXFZZNTVWLAY-SCYLSFHTSA-N
DB01393	Bezafibrate	IIBYAHWJQTYFKB-UHFFFAOYSA-N
DB01394	Colchicine	IAKHMKGGTNLKSZ-UHFFFAOYSA-N
DB01395	Drospirenone	METQSPRSQINEEU-HXCATZOESA-N
DB01396	Digitoxin	WDJUZGPOPHTGOT-XUDUSOBPSA-N
DB01397	Magnesium salicylate	MQHWFIOJQSCFNM-UHFFFAOYSA-L
DB01398	Salicylic acid	YGSDEFSMJLZEOE-UHFFFAOYSA-N
DB01399	Salsalate	WVYADZUPLLSGPU-UHFFFAOYSA-N
DB01400	Neostigmine	ALWKGYPQUAPLQC-UHFFFAOYSA-N
DB01401	Choline magnesium trisalicylate	FQCQGOZEWWPOKI-UHFFFAOYSA-K
DB01402	Bismuth subsalicylate	ZREIPSZUJIFJNP-UHFFFAOYSA-K
DB01403	Methotrimeprazine	VRQVVMDWGGWHTJ-CQSZACIVSA-N
DB01405	Temafloxacin	QKDHBVNJCZBTMR-UHFFFAOYSA-N
DB01406	Danazol	POZRVZJJTULAOH-LHZXLZLDSA-N
DB01407	Clenbuterol	STJMRWALKKWQGH-UHFFFAOYSA-N
DB01408	Bambuterol	ANZXOIAKUNOVQU-UHFFFAOYSA-N
DB01409	Tiotropium	LERNTVKEWCAPOY-DZZGSBJMSA-N
DB01410	Ciclesonide	LUKZNWIVRBCLON-GXOBDPJESA-N
DB01411	Pranlukast	NBQKINXMPLXUET-UHFFFAOYSA-N
DB01412	Theobromine	YAPQBXQYLJRXSA-UHFFFAOYSA-N
DB01413	Cefepime	HVFLCNVBZFFHBT-ZKDACBOMSA-N
DB01414	Cefacetrile	RRYMAQUWDLIUPV-BXKDBHETSA-N
DB01415	Ceftibuten	UNJFKXSSGBWRBZ-BJCIPQKHSA-N
DB01416	Cefpodoxime	WYUSVOMTXWRGEK-HBWVYFAYSA-N
DB01418	Acenocoumarol	VABCILAOYCMVPS-UHFFFAOYSA-N
DB01419	Antrafenine	NWGGKKGAFZIVBJ-UHFFFAOYSA-N
DB01420	Testosterone propionate	PDMMFKSKQVNJMI-BLQWBTBKSA-N
DB01421	Paromomycin	UOZODPSAJZTQNH-LSWIJEOBSA-N
DB01422	Nitroxoline	RJIWZDNTCBHXAL-UHFFFAOYSA-N
DB01423	Stepronin	JNYSEDHQJCOWQU-UHFFFAOYSA-N
DB01424	Aminophenazone	RMMXTBMQSGEXHJ-UHFFFAOYSA-N
DB01425	Alizapride	KSEYRUGYKHXGFW-UHFFFAOYSA-N
DB01426	Ajmaline	CJDRUOGAGYHKKD-HEFSZTOGSA-N
DB01427	Amrinone	RNLQIBCLLYYYFJ-UHFFFAOYSA-N
DB01428	Oxybenzone	DXGLGDHPHMLXJC-UHFFFAOYSA-N
DB01429	Aprindine	NZLBHDRPUJLHCE-UHFFFAOYSA-N
DB01430	Almitrine	OBDOVFRMEYHSQB-UHFFFAOYSA-N
DB01431	Allylestrenol	ATXHVCQZZJYMCF-XUDSTZEESA-N
DB01433	Methadyl acetate	XBMIVRRWGCYBTQ-UHFFFAOYSA-N
DB01434	19-norandrostenedione	JRIZOGLBRPZBLQ-QXUSFIETSA-N
DB01435	Antipyrine	VEQOALNAAJBPNY-UHFFFAOYSA-N
DB01436	Alfacalcidol	OFHCOWSQAMBJIW-AVJTYSNKSA-N
DB01437	Glutethimide	JMBQKKAJIKAWKF-UHFFFAOYSA-N
DB01438	Phenazopyridine	QPFYXYFORQJZEC-FOCLMDBBSA-N
DB01439	3-Methylthiofentanyl	SRARDYUHGVMEQI-UHFFFAOYSA-N
DB01440	gamma-Hydroxybutyric acid	SJZRECIVHVDYJC-UHFFFAOYSA-N
DB01441	5-Methoxy-NN-diisopropyltryptamine	DNBPMBJFRRVTSJ-UHFFFAOYSA-N
DB01442	MMDA	YQYUWUKDEVZFDB-UHFFFAOYSA-N
DB01443	19-Nor-5-androstenedione	WELNRNVZXWUOGT-QXUSFIETSA-N
DB01444	Dimethylthiambutene	CANBGVXYBPOLRR-UHFFFAOYSA-N
DB01445	Bufotenine	VTTONGPRPXSUTJ-UHFFFAOYSA-N
DB01446	Indopan	QSQQQURBVYWZKJ-UHFFFAOYSA-N
DB01447	4-Methylaminorex	LJQBMYDFWFGESC-UHFFFAOYSA-N
DB01450	Dihydroetorphine	BRTSNYPDACNMIP-FAWZKKEFSA-N
DB01451	1-Androstenedione	WJIQCDPCDVWDDE-WZNAKSSCSA-N
DB01452	Diamorphine	GVGLGOZIDCSQPN-PVHGPHFFSA-N
DB01453	Beta-hydroxyfentanyl	JEFVHLMGRUJLET-UHFFFAOYSA-N
DB01454	Midomafetamine	SHXWCVYOXRDMCX-UHFFFAOYSA-N
DB01455	19-Nor-5-androstenediol	VVUQRXPUVKXAIO-XFUVECHXSA-N
DB01456	5-androstenedione	SQGZFRITSMYKRH-QAGGRKNESA-N
DB01458	25-Dimethoxy-4-(n)-propylthiophenethylamine	OLEVEPDJOFPJTF-UHFFFAOYSA-N
DB01459	Bezitramide	FLKWNFFCSSJANB-UHFFFAOYSA-N
DB01460	Diethyltryptamine	LSSUMOWDTKZHHT-UHFFFAOYSA-N
DB01461	Dimenoxadol	RHUWRJWFHUKVED-UHFFFAOYSA-N
DB01462	Etonitazene	PXDBZSCGSQSKST-UHFFFAOYSA-N
DB01463	Fencamfamin	IKFBPFGUINLYQI-UHFFFAOYSA-N
DB01464	Furethidine	NNCOZXNZFLUYGG-UHFFFAOYSA-N
DB01465	25-Dimethoxyamphetamine	LATVFYDIBMDBSY-UHFFFAOYSA-N
DB01466	Ethylmorphine	OGDVEMNWJVYAJL-LEPYJNQMSA-N
DB01467	25-Dimethoxy-4-ethylamphetamine	HXJKWPGVENNMCC-UHFFFAOYSA-N
DB01468	Ethylmethylthiambutene	MORSAEFGQPDBKM-UHFFFAOYSA-N
DB01469	Acetorphine	LFYBMMHFJIAKFE-PMEKXCSPSA-N
DB01470	α-methylthiofentanyl	YPOXDUYRRSUFFG-UHFFFAOYSA-N
DB01471	Bolasterone	IVFYLRMMHVYGJH-VLOLGRDOSA-N
DB01472	4-Methoxyamphetamine	NEGYEDYHPHMHGK-UHFFFAOYSA-N
DB01473	Betaprodine	UVAZQQHAVMNMHE-CZUORRHYSA-N
DB01474	17alpha-methyl-3beta17beta-dihydroxyandrost-4-ene	BNUOCVTVOYWNJC-DTMQFJJTSA-N
DB01475	Dioxaphetyl butyrate	LQGIXNQCOXNCRP-UHFFFAOYSA-N
DB01476	Haloxazolam	XDKCGKQHVBOOHC-UHFFFAOYSA-N
DB01477	Codeine methylbromide	KIKLDWULAZATJG-YZZSNFJZSA-M
DB01478	Desmethylprodine	BCQMRZRAWHNSBF-UHFFFAOYSA-N
DB01479	BA-2664	QGKQXZFZOIQFBI-XSWYFRFISA-N
DB01480	Cyprenorphine	VSKIOMHXEUHYSI-KNLIIKEYSA-N
DB01481	1-Testosterone	OKJCFMUGMSVJBG-ABEVXSGRSA-N
DB01482	Fenethylline	NMCHYWGKBADVMK-UHFFFAOYSA-N
DB01483	Barbital	FTOAOBMCPZCFFF-UHFFFAOYSA-N
DB01484	4-Bromo-25-dimethoxyamphetamine	FXMWUTGUCAKGQL-UHFFFAOYSA-N
DB01485	4-Hydroxytestosterone	BQOIJSIMMIDHMO-FBPKJDBXSA-N
DB01486	Cathine	DLNKOYKMWOXYQA-IONNQARKSA-N
DB01487	Embutramide	LMBMDLOSPKIWAP-UHFFFAOYSA-N
DB01488	Dimethyltryptamine	DMULVCHRPCFFGV-UHFFFAOYSA-N
DB01489	Camazepam	PXBVEXGRHZFEOF-UHFFFAOYSA-N
DB01490	Aminorex	SYAKTDIEAPMBAL-UHFFFAOYSA-N
DB01491	Dipipanone	SVDHSZFEQYXRDC-UHFFFAOYSA-N
DB01493	Ethylestrenol	AOXRBFRFYPMWLR-XGXHKTLJSA-N
DB01494	Chloral betaine	ONAOIDNSINNZOA-UHFFFAOYSA-N
DB01495	Dichloralphenazone	ATKXDQOHNICLQW-UHFFFAOYSA-N
DB01496	Barbituric acid derivative	DNZPLHRZXUJATK-UHFFFAOYSA-N
DB01497	Etorphine	CAHCBJPUTCKATP-HBDRVVKHSA-N
DB01498	Alphamethadol	QIRAYNIFEOXSPW-YLJYHZDGSA-N
DB01499	Alphameprodine	ODEGQXRCQDVXSJ-WMLDXEAASA-N
DB01500	Oxabolone	GXHBCWCMYVTJOW-YGRHGMIBSA-N
DB01501	Difenoxin	UFIVBRCCIRTJTN-UHFFFAOYSA-N
DB01502	Diampromide	RXTHKWVSXOIHJS-UHFFFAOYSA-N
DB01503	1-Androstenediol	RZFGPAMUAXASRE-YSZCXEEOSA-N
DB01505	Etoxeridine	KJTKYGFGPQSRRA-UHFFFAOYSA-N
DB01506	1-Phenylcyclohexylamine	RGZGRPPQZUQUCR-UHFFFAOYSA-N
DB01507	5-Alpha-Androstane-3-Beta17beta-Diol	CBMYJHIOYJEBSB-YSZCXEEOSA-N
DB01509	Tenamfetamine	NGBBVGZWCFBOGO-UHFFFAOYSA-N
DB01511	Delorazepam	CHIFCDOIPRCHCF-UHFFFAOYSA-N
DB01512	Hydromorphinol	AABLHGPVOULICI-BRJGLHKUSA-N
DB01513	17Alpha-methyl-3beta17beta-dihydroxy-5alpha-androstane	QGKQXZFZOIQFBI-UYEYMFBJSA-N
DB01514	Furazabol	RGLLOUBXMOGLDQ-IVEVATEUSA-N
DB01515	Benzoylecgonine	GVGYEFKIHJTNQZ-RFQIPJPRSA-N
DB01516	345-Trimethoxyamphetamine	WGTASENVNYJZBK-UHFFFAOYSA-N
DB01518	Benzethidine	UVTBZAWTRVBTMK-UHFFFAOYSA-N
DB01520	Tenocyclidine	JUZZEWSCNBCFRL-UHFFFAOYSA-N
DB01521	Clostebol	KCZCIYZKSLLNNH-FBPKJDBXSA-N
DB01522	Betacetylmethadol	XBMIVRRWGCYBTQ-GCJKJVERSA-N
DB01523	Clonitazene	GPZLDQAEBHTMPG-UHFFFAOYSA-N
DB01524	Androstenediol	QADHLRWLCPCEKT-LOVVWNRFSA-N
DB01525	Ecgonine	PHMBVCPLDPDESM-FKSUSPILSA-N
DB01526	4-Androstenediol	BTTWKVFKBPAFDK-LOVVWNRFSA-N
DB01527	Clortermine	HXCXASJHZQXCKK-UHFFFAOYSA-N
DB01528	4-Methyl-25-dimethoxyamphetamine	NTJQREUGJKIARY-UHFFFAOYSA-N
DB01529	Dextromoramide	INUNXTSAACVKJS-OAQYLSRUSA-N
DB01530	5alpha-androstane-3alpha17beta-diol	CBMYJHIOYJEBSB-KHOSGYARSA-N
DB01531	Desomorphine	LNNWVNGFPYWNQE-GMIGKAJZSA-N
DB01532	α-Methylacetylfentanyl	OKTLVZBUKMRPLL-UHFFFAOYSA-N
DB01533	Diethylthiambutene	CBYWMRHUUVRIAF-UHFFFAOYSA-N
DB01534	Chlorhexadol	QVFWZNCVPCJQOP-UHFFFAOYSA-N
DB01535	Carfentanil	YDSDEBIZUNNPOB-UHFFFAOYSA-N
DB01536	Androstenedione	AEMFNILZOJDQLW-QAGGRKNESA-N
DB01537	4-Bromo-25-dimethoxyphenethylamine	YMHOBZXQZVXHBM-UHFFFAOYSA-N
DB01538	Acetyldihydrocodeine	LGGDXXJAGWBUSL-BKRJIHRRSA-N
DB01539	1-Piperidinocyclohexanecarbonitrile	WWSAYKJWUZJLRT-UHFFFAOYSA-N
DB01540	17alpha-methyl-4-hydroxynandrolone	CLNUZOCYKSHICX-FAHHUNKHSA-N
DB01541	Boldenone	RSIHSRDYCUFFLA-DYKIIFRCSA-N
DB01542	Allylprodine	KGYFOSCXVAXULR-UHFFFAOYSA-N
DB01543	18-methyl-19-nortestosterone	FBYZQDCRLYHHHP-ZOFHRBRSSA-N
DB01544	Flunitrazepam	PPTYJKAXVCCBDU-UHFFFAOYSA-N
DB01545	Ethyl loflazepate	CUCHJCMWNFEYOM-UHFFFAOYSA-N
DB01546	Etryptamine	ZXUMUPVQYAFTLF-UHFFFAOYSA-N
DB01547	Drotebanol	LCAHPIFLPICNRW-SVYNMNNPSA-N
DB01548	Diprenorphine	OIJXLIIMXHRJJH-KNLIIKEYSA-N
DB01549	Rolicyclidine	FYOWWXMGDATDQY-UHFFFAOYSA-N
DB01550	Fenproporex	IQUFSXIQAFPIMR-UHFFFAOYSA-N
DB01551	Dihydrocodeine	RBOXVHNMENFORY-DNJOTXNNSA-N
DB01552	Betameprodine	ODEGQXRCQDVXSJ-RHSMWYFYSA-N
DB01553	Cloxazolam	ZIXNZOBDFKSQTC-UHFFFAOYSA-N
DB01554	Bolandiol	CMXKUJNZWYTFJN-XFUVECHXSA-N
DB01555	Alphacetylmethadol	XBMIVRRWGCYBTQ-XMSQKQJNSA-N
DB01556	Chlorphentermine	ZCKAMNXUHHNZLN-UHFFFAOYSA-N
DB01557	α-Methylfentanyl	NGTVDHYUFBKWID-UHFFFAOYSA-N
DB01558	Bromazepam	VMIYHDSEFNYJSL-UHFFFAOYSA-N
DB01559	Clotiazepam	CHBRHODLKOZEPZ-UHFFFAOYSA-N
DB01560	Cathinone	PUAQLLVFLMYYJJ-ZETCQYMHSA-N
DB01561	Androstanedione	RAJWOBJTTGJROA-WZNAKSSCSA-N
DB01562	1-(2-Phenylethyl)-4-phenyl-4-acetoxypiperidine	BVURVTVDNWSNFN-UHFFFAOYSA-N
DB01563	Chloral hydrate	RNFNDJAIBTYOQL-UHFFFAOYSA-N
DB01564	Calusterone	IVFYLRMMHVYGJH-PVPPCFLZSA-N
DB01565	Dihydromorphine	IJVCSMSMFSCRME-KBQPJGBKSA-N
DB01566	Methylenedioxyethamphetamine	PVXVWWANJIWJOO-UHFFFAOYSA-N
DB01567	Fludiazepam	ROYOYTLGDLIGBX-UHFFFAOYSA-N
DB01568	Codeine-N-oxide	BDLSDHWCOJPHIE-KFUGMXNISA-N
DB01569	Formebolone	AMVODTGMYSRMNP-GNIMZFFESA-N
DB01570	Ohmefentanyl	FRPRNNRJTCONEC-UHFFFAOYSA-N
DB01571	3-Methylfentanyl	MLQRZXNZHAOCHQ-UHFFFAOYSA-N
DB01572	Methyl-1-testosterone	JRNSSSJKIGAFCT-YDSAWKJFSA-N
DB01573	Benzylmorphine	RDJGWRFTDZZXSM-RNWLQCGYSA-N
DB01574	Attapulgite	IXWIAFSBWGYQOE-UHFFFAOYSA-M
DB01575	Kaolin	KGOIAFZMMLWXLM-UHFFFAOYSA-N
DB01576	Dextroamphetamine	KWTSXDURSIMDCE-QMMMGPOBSA-N
DB01577	Metamfetamine	MYWUZJCMWCOHBA-VIFPVBQESA-N
DB01578	Metrizamide	DTZMSDADRKLCQE-RFMXWLSYSA-N
DB01579	Phendimetrazine	MFOCDFTXLCYLKU-CMPLNLGQSA-N
DB01580	Oxprenolol	CEMAWMOMDPGJMB-UHFFFAOYSA-N
DB01581	Sulfamerazine	QPPBRPIAZZHUNT-UHFFFAOYSA-N
DB01582	Sulfamethazine	ASWVTGNCAZCNNR-UHFFFAOYSA-N
DB01583	Liotrix	LKYWLLWWYBVUPP-XOCLESOZSA-L
DB01586	Ursodeoxycholic acid	RUDATBOHQWOJDD-UZVSRGJWSA-N
DB01587	Ketazolam	PWAJCNITSBZRBL-UHFFFAOYSA-N
DB01588	Prazepam	MWQCHHACWWAQLJ-UHFFFAOYSA-N
DB01589	Quazepam	IKMPWMZBZSAONZ-UHFFFAOYSA-N
DB01590	Everolimus	HKVAMNSJSFKALM-GKUWKFKPSA-N
DB01591	Solifenacin	FBOUYBDGKBSUES-VXKWHMMOSA-N
DB01592	Iron	XEEYBQQBJWHFJM-UHFFFAOYSA-N
DB01593	Zinc	HCHKCACWOHOZIP-UHFFFAOYSA-N
DB01594	Cinolazepam	XAXMYHMKTCNRRZ-UHFFFAOYSA-N
DB01595	Nitrazepam	KJONHKAYOJNZEC-UHFFFAOYSA-N
DB01597	Cilastatin	DHSUYTOATWAVLW-WFVMDLQDSA-N
DB01598	Imipenem	ZSKVGTPCRGIANV-ZXFLCMHBSA-N
DB01599	Probucol	FYPMFJGVHOHGLL-UHFFFAOYSA-N
DB01600	Tiaprofenic acid	GUHPRPJDBZHYCJ-UHFFFAOYSA-N
DB01601	Lopinavir	KJHKTHWMRKYKJE-SUGCFTRWSA-N
DB01602	Bacampicillin	PFOLLRNADZZWEX-FFGRCDKISA-N
DB01603	Meticillin	RJQXTJLFIWVMTO-TYNCELHUSA-N
DB01604	Pivampicillin	ZEMIJUDPLILVNQ-ZXFNITATSA-N
DB01605	Pivmecillinam	NPGNOVNWUSPMDP-HLLBOEOZSA-N
DB01606	Tazobactam	LPQZKKCYTLCDGQ-WEDXCCLWSA-N
DB01607	Ticarcillin	OHKOGUYZJXTSFX-KZFFXBSXSA-N
DB01608	Periciazine	LUALIOATIOESLM-UHFFFAOYSA-N
DB01609	Deferasirox	BOFQWVMAQOTZIW-UHFFFAOYSA-N
DB01610	Valganciclovir	WPVFJKSGQUFQAP-GKAPJAKFSA-N
DB01611	Hydroxychloroquine	XXSMGPRMXLTPCZ-UHFFFAOYSA-N
DB01612	Amyl Nitrite	CSDTZUBPSYWZDX-UHFFFAOYSA-N
DB01613	Erythrityl tetranitrate	SNFOERUNNSHUGP-ZXZARUISSA-N
DB01614	Acepromazine	NOSIYYJFMPDDSA-UHFFFAOYSA-N
DB01615	Aceprometazine	XLOQNFNTQIRSOX-UHFFFAOYSA-N
DB01616	Alverine	ZPFXAOWNKLFJDN-UHFFFAOYSA-N
DB01618	Molindone	KLPWJLBORRMFGK-UHFFFAOYSA-N
DB01619	Phenindamine	ISFHAYSTHMVOJR-UHFFFAOYSA-N
DB01620	Pheniramine	IJHNSHDBIRRJRN-UHFFFAOYSA-N
DB01621	Pipotiazine	JOMHSQGEWSNUKU-UHFFFAOYSA-N
DB01622	Thioproperazine	VZYCZNZBPPHOFY-UHFFFAOYSA-N
DB01623	Thiothixene	GFBKORZTTCHDGY-UWVJOHFNSA-N
DB01624	Zuclopenthixol	WFPIAZLQTJBIFN-DVZOWYKESA-N
DB01625	Isopropamide	JTPUMZTWMWIVPA-UHFFFAOYSA-O
DB01626	Pargyline	DPWPWRLQFGFJFI-UHFFFAOYSA-N
DB01627	Lincomycin	OJMMVQQUTAEWLP-KIDUDLJLSA-N
DB01628	Etoricoxib	MNJVRJDLRVPLFE-UHFFFAOYSA-N
DB01629	5-fluorouridine	FHIDNBAQOFJWCA-UAKXSSHOSA-N
DB01630	SC-74020	YJNCFXPJICILOK-HHHXNRCGSA-N
DB01631	Methyl Nonanoate (Ester)	IJXHLVMUNBOGRR-UHFFFAOYSA-N
DB01632	5-O-phosphono-alpha-D-ribofuranosyl diphosphate	PQGCEDQWHSBAJP-TXICZTDVSA-N
DB01633	Deoxy-2-fluoro-beta-D-cellotrioside	BZNXZJAUEMJQJB-QSCMNUSVSA-N
DB01634	2-Oxy-4-Hydroxy-5-(2-Hydrazinopyridine)Phenylalanine	AZUQIXJQZOMXAS-BDAKNGLRSA-N
DB01635	22-Dimethylthiazolidine-4-Carboxylic Acid;(Dmt)Thiazolidine	OCQICQZUUHJWGZ-BYPYZUCNSA-N
DB01636	Clorocruoro Hem	BMJANWZSDBSBRQ-HLHPXMICSA-K
DB01637	371115-tetramethyl-hexadecan-1-ol	AJAKLDUGVSKVDG-UFYCRDLUSA-N
DB01638	Sorbitol	FBPFZTCFMRRESA-JGWLITMVSA-N
DB01639	N-Methyl-Pyridoxal-5'-Phosphate	CBNMAKRKGWDQHB-UHFFFAOYSA-O
DB01640	(5r)-6-(4-{[2-(3-Iodobenzyl)-3-Oxocyclohex-1-En-1-Yl]Amino}Phenyl)-5-Methyl-45-Dihydropyridazin-3(2h)-One	QNURTFDBHAQRSI-OAHLLOKOSA-N
DB01641	(5z)-2-[(1s2r)-1-Amino-2-Hydroxypropyl]-5-[(4-Amino-1h-Indol-3-Yl)Methylene]-3-(2-Hydroxyethyl)-35-Dihydro-4h-Imidazol-4-One	JUWJATLABHTRDF-JURWUIOISA-N
DB01642	methyl beta-D-glucopyranoside	HOVAGTYPODGVJG-XUUWZHRGSA-N
DB01643	Thymidine monophosphate	GYOZYWVXFNDGLU-XLPZGREQSA-N
DB01644	36-dihydroxy-xanthene-9-propionic acid	PFQGLFBMMPZYEU-UHFFFAOYSA-N
DB01645	Genistein	TZBJGXHYKVUXJN-UHFFFAOYSA-N
DB01646	N-Acetylmethionine	XUYPXLNMDZIRQH-LURJTMIESA-N
DB01647	Daxalipram	PCCPERGCFKIYIS-AWEZNQCLSA-N
DB01648	Methyl 4-thio-beta-D-glucopyranoside	PFROTWRHYMLGHR-NYMZXIIRSA-N
DB01649	7-methyl-GpppA	QQOHNVHGNZYSBP-XPWFQUROSA-O
DB01650	trans-2-hydroxycinnamic acid	PMOWTIHVNWZYFI-AATRIKPKSA-N
DB01651	Methyl 46-O-[(1R)-1-carboxyethylidene]-beta-D-galactopyranoside	ZDZVLEQWFATHTF-IJWOWSJNSA-N
DB01652	4-hydroxybenzoyl-CoA	LTVXPVBFJBTNIJ-TYHXJLICSA-N
DB01654	Thiorphan	LJJKNPQAGWVLDQ-SNVBAGLBSA-N
DB01655	L-gulonic acid 6-phosphate	BIRSGZKFKXLSJQ-QTBDOELSSA-N
DB01656	Roflumilast	MNDBXUUTURYVHR-UHFFFAOYSA-N
DB01657	2-Amino-3-[4-Hydroxy-6-Oxo-3-(2-Phenyl-Cyclopropylimino)-Cyclohexa-14-Dienyl]-Propionic Acid	QDTWKLJWNHRCPJ-HMMYKYKNSA-N
DB01658	1'-Deazo-Thiamin Diphosphate	JHNXLHRDUXBCJW-UHFFFAOYSA-N
DB01659	3-(110-Phenanthrol-2-Yl)-L-Alanine	LODBCIBKOKOGNL-LBPRGKRZSA-N
DB01660	Adenosine 5'-[γ-thio]triphosphate	NLTUCYMLOPLUHL-KQYNXXCUSA-N
DB01661	1-(5-phospho-D-ribosyl)-ATP	RKNHJBVBFHDXGR-MRUDJCSFSA-N
DB01662	Trans-O-Hydroxy-Alpha-Methyl Cinnamate	HGNFDPZASRDVLL-SSDOTTSWSA-N
DB01663	Lambda-Bis(22'-Bipyridine)-(5-Methyl-2-2'-Bipyridine)-C9-Adamantane Ruthenium (II)	IGSCYCAKHRXAKK-KBBCMHLPSA-N
DB01664	(S)-DES-ME-AMPA	ZKLGQYGPVBFAQQ-BYPYZUCNSA-N
DB01665	2H-Benzimidazol-2-amine	DERVZEOWPBCBHO-UHFFFAOYSA-N
DB01666	D-Myo-Inositol-Hexasulphate	NBTMNFYXJYCQHQ-GPIVLXJGSA-N
DB01667	8-azaguanine	LPXQRXLUHJKZIE-UHFFFAOYSA-N
DB01668	Nanaomycin D	XUWPJKDMEZSVTP-UOSCCXBLSA-N
DB01669	Virginiamycin M1	DAIKHDNSXMZDCU-FQTGFAPKSA-N
DB01670	Propyl acetate	YKYONYBAUNKHLG-UHFFFAOYSA-N
DB01671	4-(Hydroxymercury)Benzoic Acid	WMHRYLDWLOGHSG-UHFFFAOYSA-M
DB01672	23-Dihydroxy-Benzoic Acid	GLDQAMYCGOIJDV-UHFFFAOYSA-N
DB01673	Uridine-5'-Diphosphate-N-Acetylmuramoyl-L-Alanine	NTMMCWJNQNKACG-KBKUWGQMSA-N
