"1,12-Besm"	PGMIWVSHZMWSSI-UHFFFAOYSA-N
OTS514	OETLNMOJNONWOY-LBPRGKRZSA-N
OTX015	GNMUEVRJHCWKTO-FQEVSTJZSA-N
OXA-06	XUIUXXQVHPEQNM-UHFFFAOYSA-N
OXF-BD-02	FEQUIPXIENTMJN-SFHVURJKSA-N
P22077	RMAMGGNACJHXHO-UHFFFAOYSA-N
P276-00	QLUYMIVVAYRECT-OCCSQVGLSA-N
P5091	LKZLGMAAKNEGCH-UHFFFAOYSA-N
P7C3	FZHHRERIIVOATI-KRWDZBQOSA-N
PA-452	JJUUTJCZMGZJDZ-UHFFFAOYSA-N
PAC-1	YQNRVGJCPCNMKT-LFVJCYFKSA-N
PACOCF3	MAHYXYTYTLCTQD-UHFFFAOYSA-N
PAOPA	QXHVGEXNEZRSGG-JGVFFNPUSA-N
PAT-1251	ODGXXYXJORZPHE-ZIAGYGMSSA-N
PBI-4050	PEGQOIGYZLJMIB-UHFFFAOYSA-N
PBT-1033	YZPOQCQXOSEMAZ-UHFFFAOYSA-N
PCA-4248	DHCNAWNKZMNTIS-GFCCVEGCSA-N
PCI-24781	MAUCONCHVWBMHK-UHFFFAOYSA-N
PCI-27483	WDJHHCAKBRKCLW-IBGZPJMESA-N
PCI-29732	GMJUPMONHWAZCP-UHFFFAOYSA-N
PCI-34051	AJRGHIGYPXNABY-UHFFFAOYSA-N
PCO-400	WJBHHTPFTVKZCV-CVEARBPZSA-N
PD-0325901	SUDAHWBOROXANE-SECBINFHSA-N
PD-102807	VDDUJINYXKGZLV-JOCHJYFZSA-N
PD-118057	ZCQOSCDABPVAFB-UHFFFAOYSA-N
PD-123319	YSTVFDAKLDMYCR-NDEPHWFRSA-N
PD-128907	YOILXOMTHPUMRG-TZMCWYRMSA-N
PD-153035	LSPANGZZENHZNJ-UHFFFAOYSA-N
PD-156707	OFCTYBMKKTVKCR-QQTULTPQSA-N
PD-158780	KFHMLBXBRCITHF-UHFFFAOYSA-N
PD-160170	YUVNGBZROXQYQH-UHFFFAOYSA-N
PD-161570	MKVMEJKNLUWFSQ-UHFFFAOYSA-N
PD-166285	IFPPYSWJNWHOLQ-UHFFFAOYSA-N
PD-166793	GJOCABIDMCKCEG-INIZCTEOSA-N
PD-168077	DNULYRGWTFLJQL-UHFFFAOYSA-N
PD-168393	HTUBKQUPEREOGA-UHFFFAOYSA-N
PD-168568	WQEPZBNLBWDIRZ-OAQYLSRUSA-N
PD-173074	DXCUKNQANPLTEJ-UHFFFAOYSA-N
PD-173212	GCDHMGROXQUFNR-HEVIKAOCSA-N
PD-184352	GFMMXOIFOQCCGU-UHFFFAOYSA-N
PD-198306	UHAXDAKQGVISBZ-UHFFFAOYSA-N
PD-318088	XXSSGBYXSKOLAM-MRVPVSSYSA-N
PD-407824	IAUZTOZLTFSMIE-UHFFFAOYSA-N
PD-81723	KKDKAWKYGCUOGR-UHFFFAOYSA-N
PD-98059	QFWCYNPOPKQOKV-UHFFFAOYSA-N
PD1-PDL-inhibitor-1	ZBOYJODMIAUJHH-SANMLTNESA-N
PDD-00017273	IFWUBRBMMNTBRZ-UHFFFAOYSA-N
PDE10-IN-1	ZLHNYULRKIEGAY-HZPDHXFCSA-N
PDP-EA	BIOVSNWTCKRADD-UHFFFAOYSA-N
PETCM	NGTDJJKTGRNNAU-ZETCQYMHSA-N
PF-02413873	QSFGZNVRVZHUGV-UHFFFAOYSA-N
PF-02545920	AZEXWHKOMMASPA-UHFFFAOYSA-N
PF-03049423	MNLNAGRCHNMKKJ-UHFFFAOYSA-N
PF-03084014	VFCRKLWBYMDAED-REWPJTCUSA-N
PF-03758309	AYCPARAPKDAOEN-LJQANCHMSA-N
PF-03814735	RYYNGWLOYLRZLK-RBUKOAKNSA-N
PF-03882845	XNULRSOGWPFPBL-AKRCKQFNSA-N
PF-04136309	ZNSVOHSYDRPBGI-LXWOLXCRSA-N
PF-04217903	PDMUGYOXRHVNMO-UHFFFAOYSA-N
PF-04418948	LWJGMYMNSNVCEM-UHFFFAOYSA-N
PF-04447943	IWXUVYOOUMLUTQ-CZUORRHYSA-N
PF-04457845	BATCTBJIJJEPHM-UHFFFAOYSA-N
PF-04620110	GEVVQZHMFVFGLN-HDJSIYSDSA-N
PF-04691502	XDLYKKIQACFMJG-WKILWMFISA-N
PF-04885614	AGORGFNWYAUYSU-UHFFFAOYSA-N
PF-04937319	MASKQITXHVYVFL-UHFFFAOYSA-N
PF-04995274	WLLOFQROROXOMO-GOSISDBHSA-N
PF-05089771	ZYSCOUXLBXGGIM-UHFFFAOYSA-N
PF-05175157	BDXXSFOJPYSYOC-UHFFFAOYSA-N
PF-05180999	CLGCHUKGBICQTE-UHFFFAOYSA-N
PF-05190457	ZIUDADZJCKGWKR-AREMUKBSSA-N
PF-05212384	DWZAEMINVBZMHQ-UHFFFAOYSA-N
PF-06260414	ZKAVFOXYJCREBQ-SNVBAGLBSA-N
PF-06273340	BPIWZDNVMQQBQX-UHFFFAOYSA-N
PF-06282999	ICYNYWFGIDGBRD-UHFFFAOYSA-N
PF-06305591	APWZIFIAVVFPNT-PELKAZGASA-N
PF-06409577	FHQXLWCFSUSXBF-UHFFFAOYSA-N
PF-06412562	IDIUJOHYYBNCPC-UHFFFAOYSA-N
PF-06447475	BHTWDJBVZQBRKP-UHFFFAOYSA-N
PF-06459988	ODMXWZROLKITMS-RISCZKNCSA-N
PF-06463922	IIXWYSCJSQVBQM-LLVKDONJSA-N
PF-06650833	JKDGKIBAOAFRPJ-ZBINZKHDSA-N
PF-06651600	CBRJPFGIXUFMTM-WDEREUQCSA-N
PF-06747775	JYIUNVOCEFIUIU-GHMZBOCLSA-N
PF-06751979	ZLZUHACSRMOLLV-RAALSFIWSA-N
PF-06840003	MXKLDYKORJEOPR-MRVPVSSYSA-N
PF-06873600	QIEKHLDZKRQLLN-FOIQADDNSA-N
PF-06928215	LCOWXYIOVWEZPJ-HIFRSBDPSA-N
PF-3274167	HNIFCPBQMKPRCX-UHFFFAOYSA-N
PF-3845	NBOJHRYUGLRASX-UHFFFAOYSA-N
PF-4191834	DVNQWYLVSNPCJZ-UHFFFAOYSA-N
PF-429242	XKPJTOHUPQWSOJ-HSZRJFAPSA-N
PF-431396	POJZIZBONPAWIV-UHFFFAOYSA-N
PF-4708671	FBLPQCAQRNSVHB-UHFFFAOYSA-N
PF-477736	NDEXUOWTGYUVGA-LJQANCHMSA-N
PF-4800567	AUMDBEHGJRZSOO-UHFFFAOYSA-N
PF-4981517	WDWIMDKOXZZYHH-FQEVSTJZSA-N
PF-514273	FJMQJSUOOGOWBD-UHFFFAOYSA-N
PF-5274857	BBVNTTZIOTWDSV-UHFFFAOYSA-N
PF-562271	MZDKLVOWGIOKTN-UHFFFAOYSA-N
PF-573228	HESLKTSGTIBHJU-UHFFFAOYSA-N
PF-670462	WUDBUIUHVNECTM-UHFFFAOYSA-N
PF-750	BIODYGOZWZNCAG-UHFFFAOYSA-N
PF-8380	JMSUDQYHPSNBSN-UHFFFAOYSA-N
PF-915275	ZESFDAKNYJQYKO-UHFFFAOYSA-N
PFI-1	TXZPMHLMPKIUGK-UHFFFAOYSA-N
PFI-3	INAICWLVUAKEPB-QSTFCLMHSA-N
PFI-4	QCIJLRJBZDBVDB-UHFFFAOYSA-N
PFK-015	UJJUKZPBUMCSJZ-BQYQJAHWSA-N
PFK-158	IAJOMYABKVAZCN-AATRIKPKSA-N
PG-9	GHDWIFTUSXQYGK-FWYOQMDTSA-N
PGL5001	XCPPIJCBCWUBNT-HXUWFJFHSA-N
PH-797804	KCAJXIDMCNPGHZ-UHFFFAOYSA-N
PHA-543613	IPKZCLGGYKRDES-ZDUSSCGKSA-N
PHA-568487	LUVXHMJTVXZFPD-ZDUSSCGKSA-N
PHA-665752	OYONTEXKYJZFHA-SSHUPFPWSA-N
PHA-680632	OBWNXGOQPLDDPS-UHFFFAOYSA-N
PHA-767491	DKXHSOUZPMHNIZ-UHFFFAOYSA-N
PHA-793887	HUXYBQXJVXOMKX-UHFFFAOYSA-N
PHA-848125	RXZMYLDMFYNEIM-UHFFFAOYSA-N
PHCCC	FPXPIEZPAXSELW-RGNAGUPPSA-N
PHP-501	UHEYIOPHTBWBQN-UHFFFAOYSA-N
PHT-427	BYWWNRBKPCPJMG-UHFFFAOYSA-N
PHTPP	AEZPAUSGTAHLOQ-UHFFFAOYSA-N
PI-103	TUVCWJQQGGETHL-UHFFFAOYSA-N
PI-828	WUKMIBOGGXMBAC-UHFFFAOYSA-N
PI3K-IN-2	ADGGYDAFIHSYFI-UHFFFAOYSA-N
PI3Kd-IN-2	NVWKNQGHVMMAJW-UHFFFAOYSA-N
PI4KIII-beta-inhibitor-1	PLUYFBRIGUAKBR-UHFFFAOYSA-N
PIK-293	KQDBVHKNIYROHU-UHFFFAOYSA-N
PIK-294	WFSLJOPRIJSOJR-UHFFFAOYSA-N
PIK-75	QTHCAAFKVUWAFI-DJKKODMXSA-N
PIK-93	JFVNFXCESCXMBC-UHFFFAOYSA-N
PIM-1-Inhibitor-2	AQVFETGXIRKVAQ-UHFFFAOYSA-N
PIM-447	VRQXRVAKPDCRCI-ZNMIVQPWSA-N
PIT	LXEZPPZLNVOLDI-UHFFFAOYSA-N
PJ-34	UYJZZVDLGDDTCL-UHFFFAOYSA-N
PK-11195	RAVIZVQZGXBOQO-CQSZACIVSA-N
PK-44	LIPWZZYFIVYJSI-MRVPVSSYSA-N
PK-THPP	CJZGRIRZVHNUSM-UHFFFAOYSA-N
PKI-166	XRYJULCDUUATMC-CYBMUJFWSA-N
PKI-179	WXUUCRLKXQMWRY-OYRHEFFESA-N
PLX4720	YZDJQTHVDDOVHR-UHFFFAOYSA-N
PLX51107	AMSUHYUVOVCWTP-INIZCTEOSA-N
PLX647	NODCQQSEMCESEC-UHFFFAOYSA-N
PLX8394	YYACLQUDUDXAPA-MRXNPFEDSA-N
PMPA	ISEYJGQFXSTPMQ-BYPYZUCNSA-N
PNU-120596	CEIIEALEIHQDBX-UHFFFAOYSA-N
PNU-142633	PNTVCCRNJOGKGA-QFIPXVFZSA-N
PNU-177864	JGGQWSXZZQPZTR-UHFFFAOYSA-N
PNU-22394	ZBXDOQWPGBISAR-UHFFFAOYSA-N
PNU-282987	WECKJONDRAUFDD-ZDUSSCGKSA-N
PNU-37883	GKCGWXNLOYTUNC-UHFFFAOYSA-N
PNU-74654	JJEDWBQZCRESJL-DEDYPNTBSA-N
PNU-89843	UADIKEUOAMACNA-UHFFFAOYSA-N
PP-1	ZVPDNRVYHLRXLX-UHFFFAOYSA-N
PP-121	NVRXTLZYXZNATH-UHFFFAOYSA-N
PP-2	PBBRWFOVCUAONR-UHFFFAOYSA-N
PP242	MFAQYJIYDMLAIM-UHFFFAOYSA-N
PPT	IOTXSIGGFRQYKW-UHFFFAOYSA-N
PPY-A	GYQRHHQPEMOLKH-UHFFFAOYSA-N
PQ-401	YBLWOZUPHDKFOT-UHFFFAOYSA-N
PR-619	ZXOBLNBVNROVLC-UHFFFAOYSA-N
PRE-084	RQHKZUBCUZVZEF-UHFFFAOYSA-N
PRIMA1	RFBVBRVVOPAAFS-UHFFFAOYSA-N
PRLX-93936	OBWOSMGNXYUDFB-UHFFFAOYSA-N
PRN1008	LCFFREMLXLZNHE-GBOLQPHISA-N
PRN1371	PUIXMSRTTHLNKI-UHFFFAOYSA-N
PRT062070	BGLPECHZZQDNCD-UHFFFAOYSA-N
PRT062607	TXGKRVFSSHPBAJ-JKSUJKDBSA-N
PRT4165	OMHZFEWYVFWVLI-UHFFFAOYSA-N
PRX-07034	BSLXKMCHXRCBIH-AWEZNQCLSA-N
PRX-08066	IENZFHBNCRQMNP-UHFFFAOYSA-N
PS178990	KEJORAMIZFOODM-PWSUYJOCSA-N
PSB-06126	ZHQRPIRGSWEALJ-UHFFFAOYSA-N
PSB-11	RGDHRCXUMURWBJ-LLVKDONJSA-N
PSB-1115	UYDRRQPGDSIMNU-UHFFFAOYSA-N
PSB-36	CIBIXJYFYPFMTN-FZUGUKJMSA-N
PSB-603	OVHCTHHFOHMNFV-UHFFFAOYSA-N
PSI-6130	NYPIRLYMDJMKGW-VPCXQMTMSA-N
PSI-697	DIEPFYNZGUUVHD-UHFFFAOYSA-N
PSI-7976	TTZHDVOVKQGIBA-YBSJRAAASA-N
PSN-375963	OAVLEYPTWABFLF-UHFFFAOYSA-N
PSNCBAM-1	HDAYFSFWIPRJSO-UHFFFAOYSA-N
PT-2385	ONBSHRSJOPSEGS-INIZCTEOSA-N
PTC-028	JEZGPBWIZWPDHP-UHFFFAOYSA-N
PTC-209	XVOOCQSWCCRVDY-UHFFFAOYSA-N
PU-H71	SUPVGFZUWFMATN-UHFFFAOYSA-N
PX-12	BPBPYQWMFCTCNG-ZCFIWIBFSA-N
PX-478	GSKQMLGAUOTSKT-LBPRGKRZSA-N
PYM50028	GMBQZIIUCVWOCD-WWASVFFGSA-N
PYR-41	ARGIPZKQJGFSGQ-LCYFTJDESA-N
PZ-2891	LGWDVWIZDPGCFG-UHFFFAOYSA-N
PhiKan-083	LBPNOEAFWYTTEB-UHFFFAOYSA-N
Proxyphylline	KYHQZNGJUGFTGR-ZCFIWIBFSA-N
Q-203	OJICYBSWSZGRFB-UHFFFAOYSA-N
QX-222	QYUXPWDVDMSTKR-UHFFFAOYSA-O
QX-314	PYEBKOFMWAMBFV-UHFFFAOYSA-O
R-121919	ANNRUWYFVIGKHA-UHFFFAOYSA-N
R-1479	ODLGMSQBFONGNG-JVZYCSMKSA-N
R-1485	UPROBLPRPWYJGN-UHFFFAOYSA-N
R-1487	KKKRKRMVJRHDMG-UHFFFAOYSA-N
R-268712	JQGOCCALXFSRHZ-UHFFFAOYSA-N
R-428	KXMZDGSRSGHMMK-VWLOTQADSA-N
R-59022	MFVJXLPANKSLLD-UHFFFAOYSA-N
R-96544	AFZLABYDOCWQBQ-WOJBJXKFSA-N
R112	TVKGTSHBQZEFEE-UHFFFAOYSA-N
R306465	MUTBJZVSRNUIHA-UHFFFAOYSA-N
R406	NHHQJBCNYHBUSI-UHFFFAOYSA-N
R547	JRNJNYBQQYBCLE-UHFFFAOYSA-N
RAD140	XMBUPPIEVAFYHO-KPZWWZAWSA-N
RAF265	YABJJWZLRMPFSI-UHFFFAOYSA-N
RAF709	FYNMINFUAIDIFL-UHFFFAOYSA-N
RBC8	RFEAEBNMNYRJFD-VGAJERRHSA-N
REV-5901	JRLOEMCOOZSCQP-JOCHJYFZSA-N
RG108	HPTXLHAHLXOAKV-INIZCTEOSA-N
RG1530	XXAKBYBCWYYQTL-UHFFFAOYSA-N
RG2833	VOPDXHFYDJAYNS-UHFFFAOYSA-N
RG4733	OJPLJFIFUQPSJR-INIZCTEOSA-N
RG7112	QBGKPEROWUKSBK-QPPIDDCLSA-N
RG7800	GYFRQCMDLBNZSF-UHFFFAOYSA-N
RG7834	KBXLMOYQNDMHQT-KRWDZBQOSA-N
RGB-286638	XLSYZSRXVVCHLS-UHFFFAOYSA-N
RGFP966	BLVQHYHDYFTPDV-VCABWLAWSA-N
RGX-104	ZLJZDYOBXVOTSA-XMMPIXPASA-N
RHC-80267	RXSVYGIGWRDVQC-UHFFFAOYSA-N
RI-1	MWSUIZKGNWELRF-UHFFFAOYSA-N
RITA	KZENBFUSKMWCJF-UHFFFAOYSA-N
RKI-1447	GDVRVPIXWXOKQO-UHFFFAOYSA-N
RLX	HTLIIBRHXAULMB-UHFFFAOYSA-N
RMC-4550	IKUYEYLZXGGCRD-ORAYPTAESA-N
RN-1	YAMSXCOVJUUMCT-FCHUYYIVSA-N
RN-1734	IHYZMEAZAIFMTN-UHFFFAOYSA-N
RN-1747	ZNLVYSJQUMALEO-UHFFFAOYSA-N
RP-001	WNDDDFYFTSGSEC-HXUWFJFHSA-N
RP67580	VWBOQFANCXZMAU-LOSJGSFVSA-N
RQ-00203078	IJGQFZYYEHCCIZ-UHFFFAOYSA-N
RRx-001	JODKFOVZURLVTG-UHFFFAOYSA-N
RS-0481	MEXWLVVJOPSWLN-PBHICJAKSA-N
RS-100329	RCOBWVAGWYRNHZ-UHFFFAOYSA-N
RS-102221	HZZZZODVDSHQRG-UHFFFAOYSA-N
RS-102895	HIDWEYPGMLIQSN-UHFFFAOYSA-N
RS-127445	ZZZQXCUPAJFVBN-UHFFFAOYSA-N
RS-16566	OGXMGJGFLBSEJW-HNNXBMFYSA-N
RS-17053	XLZHXAXXJVKTFM-UHFFFAOYSA-N
RS-23597-190	RLSGBCUXLRMTPF-UHFFFAOYSA-N
RS-39604	BKVIWGRFRKLFIO-UHFFFAOYSA-N
RS-45041-190	IVCMOOBKRRDNHX-UHFFFAOYSA-N
RS-504393	ODNICNWASXKNNQ-UHFFFAOYSA-N
RS-56812	ZNAPADWWBWFMCQ-HNNXBMFYSA-N
RS-67333	JBHLYIVFFLNISJ-UHFFFAOYSA-N
RS-67506	UATDVRSFFGFTAI-UHFFFAOYSA-N
RS-79948	UMGBFFAJXFXOIL-MNEFBYGVSA-N
RSV604	MTPVBMVUENFFLL-HXUWFJFHSA-N
RTA-408	RJCWBNBKOKFWNY-IDPLTSGASA-N
RU-24969	KRVMLPUDAOWOGN-UHFFFAOYSA-N
RU-28318	DNHCHRGCTVRAFT-JEHIOXJOSA-N
RU-42173	ZSTCZWJCLIRCOJ-DGCLKSJQSA-N
RU-58841	ARBYGDBJECGMGA-UHFFFAOYSA-N
RU-SKI-43	AEENEMOEBJOKGN-UZLBHIALSA-N
RV1729	UBLOHCIYTDRGJH-UHFFFAOYSA-N
RWJ-21757	VDCRFBBZFHHYGT-IOSLPCCCSA-N
RWJ-50271	HOFGTYCLOKDAES-UHFFFAOYSA-N
RWJ-67657	QSUSKMBNZQHHPA-UHFFFAOYSA-N
RX-3117	QLLGKCJUPWYJON-HLTSFMKQSA-N
RX-821002	HQGWKNGAKBPTBX-LBPRGKRZSA-N
Rec-15/2615	ZZMFJJDBKSYGRM-UHFFFAOYSA-N
Ro-04-5595	DSTWURHEHMZWEI-KRWDZBQOSA-N
Ro-08-2750	JDEMVNYMYPJJIM-UHFFFAOYSA-N
Ro-10-5824	KABDATZAOUSYES-UHFFFAOYSA-N
Ro-106-9920	JFSXSNSCPNFCDM-KRWDZBQOSA-N
Ro-1138452	GYYRMJMXXLJZAB-UHFFFAOYSA-N
Ro-15-4513	CFSOJZTUTOQNIA-UHFFFAOYSA-N
Ro-19-4605	ZIGMMUKDYCABPW-UHFFFAOYSA-N
Ro-20-1724	PDMUULPVBYQBBK-LBPRGKRZSA-N
Ro-25-6981	WVZSEUPGUDIELE-HTAPYJJXSA-N
Ro-28-1675	NEQSWPCDHDQINX-MRXNPFEDSA-N
Ro-3	PYNPWUIBJMVRIG-UHFFFAOYSA-N
Ro-3306	XOLMRFUGOINFDQ-YBEGLDIGSA-N
Ro-48-6791	NOQIYRGMEFBZTI-UHFFFAOYSA-N
Ro-48-8071	CMYCCJYVZIMDFU-UHFFFAOYSA-N
Ro-4987655	FIMYFEGKMOCQKT-UHFFFAOYSA-N
Ro-5028442	QZXVLRCMAHJVIP-UHFFFAOYSA-N
Ro-5126766	LMMJFBMMJUMSJS-UHFFFAOYSA-N
Ro-5263397	IOHOUWIYOVWGHV-SECBINFHSA-N
Ro-60-0175	XJJZQXUGLLXTHO-ZETCQYMHSA-N
Ro-61-8048	NDPBMCKQJOZAQX-UHFFFAOYSA-N
Ro-67-7476	DAEHFYNGSSBGSS-KRWDZBQOSA-N
Ro-90-7501	PAGZCEHLFCJSPV-UHFFFAOYSA-N
Ro-9187	ODLGMSQBFONGNG-XZMZPDFPSA-N
S-07662	UITFWLJMEZPXOF-UHFFFAOYSA-N
S-111	PYXFVCFISTUSOO-HKUCOEKDSA-N
S-14506	IFMQODYDAUKKEN-UHFFFAOYSA-N
S-17092	NXSXRIHXEQSYEZ-KNJMJIDISA-N
S-3304	YWCLDDLVLSQGSZ-JOCHJYFZSA-N
S-38093	MRNMYWNBLVJWKG-GASCZTMLSA-N
S-isopropylisothiourea	XSSNABKEYXKKMK-UHFFFAOYSA-N
S-methylcysteine	IDIDJDIHTAOVLG-VKHMYHEASA-N
S-nitrosoglutathione	HYHSBSXUHZOYLX-WDSKDSINSA-N
S-sulfo-L-cysteine	NOKPBJYHPHHWAN-REOHCLBHSA-N
S-trityl-L-cysteine	DLMYFMLKORXJPO-HXUWFJFHSA-N
S15535	QJPPEMXOOWNICQ-UHFFFAOYSA-N
S18986	MNTIJYGEITVWHU-SNVBAGLBSA-N
S1P1-agonist-III	MLDQTQOMWDNTNN-UHFFFAOYSA-N
S26948	NSMJEHGOMXSLCW-UHFFFAOYSA-N
S4	HGVHSNXRZYOTPD-UHFFFAOYSA-N
S49076	AREYWCZYVPSHGS-NVMNQCDNSA-N
S63845	ZFBHXVOCZBPADE-SSEXGKCCSA-N
SA-47	HSYCMGWPPRTNKH-UHFFFAOYSA-N
SAG	VFSUUTYAEQOIMW-YHBQERECSA-N
SAM-315	FYOVZCDHYOEKDE-UHFFFAOYSA-N
SANT-1	FOORCIAZMIWALX-JJIBRWJFSA-N
SANT-2	VQOJFGFKIVFMDH-UHFFFAOYSA-N
SAR-245409	HJSSPYJVWLTYHG-UHFFFAOYSA-N
SAR131675	PFMPOBVAYMTUOX-GOSISDBHSA-N
SAR405	SPDQRCUBFSRAFI-DOMZBBRYSA-N
SAR405838	IDKAKZRYYDCJDU-HBMMIIHUSA-N
SAR407899	IPEXHQGMTHOKQV-UHFFFAOYSA-N
SB-200646	OJZZJTLBYXHUSJ-UHFFFAOYSA-N
SB-202190	QHKYPYXTTXKZST-UHFFFAOYSA-N
SB-203186	YGKPIROTKVQCCU-UHFFFAOYSA-N
SB-203580	CDMGBJANTYXAIV-HHHXNRCGSA-N
SB-205384	JDTZAGLGBRRCJT-JTQLQIEISA-N
SB-206553	QJQORSLQNXDVGE-UHFFFAOYSA-N
SB-216641	JRNUKVFYILMMLX-UHFFFAOYSA-N
SB-216763	JCSGFHVFHSKIJH-UHFFFAOYSA-N
SB-218078	OTPNDVKVEAIXTI-HZPDHXFCSA-N
SB-218795	IUMQXQJZIHWLIN-HSZRJFAPSA-N
SB-221284	OQZOXHCRSXYSPM-UHFFFAOYSA-N
SB-222200	MQNYRKWJSMQECI-QFIPXVFZSA-N
SB-225002	MQBZVUNNWUIPMK-UHFFFAOYSA-N
SB-228357	RRJLJKRFFRZRAF-UHFFFAOYSA-N
SB-2343	QYBGBLQCOOISAR-UHFFFAOYSA-N
SB-239063	ZQUSFAUAYSEREK-WKILWMFISA-N
SB-242235	PDTYLGXVBIWRIM-UHFFFAOYSA-N
SB-243213	ZETBBVYSBABLHL-UHFFFAOYSA-N
SB-258585	BDHMSYNBSBZCAF-UHFFFAOYSA-N
SB-268262	YXHLPJQQPOMPGE-HHHXNRCGSA-N
SB-269970	HWKROQUZSKPIKQ-MRXNPFEDSA-N
SB-271046	LOCQRDBFWSXQQI-UHFFFAOYSA-N
SB-297006	BEZXGSZPWXRHIN-INIZCTEOSA-N
SB-328437	VMFGCGRAIBLAFY-IBGZPJMESA-N
SB-334867	AKMNUCBQGHFICM-UHFFFAOYSA-N
SB-366791	RYAMDQKWNKKFHD-JXMROGBWSA-N
SB-399885	ATKZKAYWARYLBW-UHFFFAOYSA-N
SB-408124	JTARFZSNUAGHRB-UHFFFAOYSA-N
SB-415286	PQCXVIPXISBFPN-UHFFFAOYSA-N
SB-431542	FHYUGAJXYORMHI-UHFFFAOYSA-N
SB-452533	IFJYEGJUQIBBQV-UHFFFAOYSA-N
SB-505124	WGZOTBUYUFBEPZ-UHFFFAOYSA-N
SB-525334	DKPQHFZUICCZHF-UHFFFAOYSA-N
SB-590885	MLSAQOINCGAULQ-QFMPWRQOSA-N
SB-612111	OHRDCQFCAWLDBP-SBUREZEXSA-N
SB-649868	ZJXIUGNEAIHSBI-IBGZPJMESA-N
SB-657510	KQCZCINJGIRLCD-CYBMUJFWSA-N
SB-683698	DRSJLVGDSNWQBI-SFHVURJKSA-N
SB-705498	JYILLRHXRVTRSH-GFCCVEGCSA-N
SB-706375	BPOWQJYAMDEAFF-CYBMUJFWSA-N
SB-742457	JJZFWROHYSMCMU-UHFFFAOYSA-N
SB-743921	PGXYIBJJCLWJST-MUUNZHRXSA-N
SB-747651A	MBCJUIJWPYUEBX-UHFFFAOYSA-N
SB-756050	GJUFPAZNBPFNRI-UHFFFAOYSA-N
SB-772077B	PHWHNHYZZNJPLB-QMMMGPOBSA-N
SB-939	JHDKZFFAIZKUCU-ZRDIBKRKSA-N
SBE-13	XNPRQBVQOJZMMA-UHFFFAOYSA-N
SBHA	IDQPVOFTURLJPT-UHFFFAOYSA-N
SBI-115	IJPXOPBVXVPPEW-UHFFFAOYSA-N
SC-10	MJMJERJFCHYXEM-UHFFFAOYSA-N
SC-12267	XPRDUGXOWVXZLL-UHFFFAOYSA-N
SC-144	UEADAWQSJOWXBK-UHFFFAOYSA-N
SC-19220	KNURFLJTOUGOOQ-UHFFFAOYSA-N
SC-236	NSQNZEUFHPTJME-UHFFFAOYSA-N
SC-51089	XDJPQOUDGROSEU-UHFFFAOYSA-N
SC-560	PQUGCKBLVKJMNT-UHFFFAOYSA-N
SC-9	YUXMTDYHFPRPLG-UHFFFAOYSA-N
SCH-202676	FFUBTEITUNMMOK-UHFFFAOYSA-N
SCH-221510	LOSJNRBXNQTUNT-FOURXJPJSA-N
SCH-23390	GOTMKOSCLKVOGG-OAHLLOKOSA-N
SCH-28080	PYKJFEPAUKAXNN-UHFFFAOYSA-N
SCH-51344	YWEGXZZAORIRQR-UHFFFAOYSA-N
SCH-58261	UTLPKQYUXOEJIL-UHFFFAOYSA-N
SCH-900776	GMIZZEXBPRLVIV-SECBINFHSA-N
SCMC-Lys	GBFLZEXEOZUWRN-VKHMYHEASA-N
SCP-1	PUPNJSIFIXXJCH-UHFFFAOYSA-N
SCS	OMCYEZUIYGPHDJ-OQLLNIDSSA-N
SD-0006	CATQHDWESBRRQA-UHFFFAOYSA-N
SD-169	GQMYQEAXTITUAE-UHFFFAOYSA-N
SD-208	BERLXWPRSBJFHO-UHFFFAOYSA-N
SD-2590	NXUHVWMBPOFLMA-UHFFFAOYSA-N
SDM25N	ZFMVWAWSKLAVOE-IFKAHUTRSA-N
SDZ-205-557	FFNWMBDISAYHDC-UHFFFAOYSA-N
SDZ-21009	SJYFDORQYYEJLB-ZDUSSCGKSA-N
SDZ-220-040	NYZFUZCCDOSQBG-AWEZNQCLSA-N
SDZ-220-581	VBRJFXSFCYEZMQ-HNNXBMFYSA-N
SDZ-NKT-343	PCVSIMQAFWRUEC-JDXGNMNLSA-N
SDZ-SER-082	YASBOGFWAMXINH-TZMCWYRMSA-N
SDZ-WAG-994	JAKAFSGZUXCHLF-LSCFUAHRSA-N
SEN-1269	MFPAAKZZUIRMKR-UHFFFAOYSA-N
SEP-227900	MMAIBGHDBYQYDI-UHFFFAOYSA-N
SEW-2871	OYMNPJXKQVTQTR-UHFFFAOYSA-N
SF-11	PMEQBGAGFZDWQX-UHFFFAOYSA-N
SGC-0946	IQCKJUKAQJINMK-HUBRGWSESA-N
SGC-707	DMIDPTCQPIJYFE-UHFFFAOYSA-N
SGC-CBP30	GEPYBHCJBORHCE-SFHVURJKSA-N
SGI-1027	QSYLKMKIVWJAAK-UHFFFAOYSA-N
SGI-1776	MHXGEROHKGDZGO-UHFFFAOYSA-N
SGS-742	ONNMDRQRSGKZCN-UHFFFAOYSA-N
SGX523	BCZUAADEACICHN-UHFFFAOYSA-N
SHA-68	SFRQIPRTNYHJHP-QHCPKHFHSA-N
SHP099	YGUFCDOEKKVKJK-UHFFFAOYSA-N
SIB-1553A	NVZGJSVPOOILDI-LLVKDONJSA-N
