ENSG00000000003	O43657
ENSP00000311949	Q58WW2
ENSP00000311951	Q86XH1
ENSP00000311957	Q8NE65
ENSP00000311962	Q9UJY4
ENSP00000311977	Q96G46
ENSP00000311984	Q8IW45
ENSP00000311986	Q8TEW0
ENSP00000311997	P12036
ENSP00000312001	Q9H3W5
ENSP00000312002	Q8TDQ0
ENSP00000312017	Q8TBR7
ENSP00000312027	P09564
ENSP00000312029	P55851
ENSP00000312037	Q9NPB3
ENSP00000312059	P52594
ENSP00000312066	Q9UHB9
ENSP00000312070	Q9UN70
ENSP00000312074	Q562E7
ENSP00000312081	Q8TE77
ENSP00000312082	Q9NR97
ENSP00000312089	Q9BXN2
ENSP00000312099	P22914
ENSP00000312100	Q9GZY4
ENSP00000312107	P68543
ENSP00000312110	Q9HB55
ENSP00000312122	P55735
ENSP00000312126	Q8NFM4
ENSP00000312129	Q8TDN1
ENSP00000312134	P13727
ENSP00000312143	Q68CZ2
ENSP00000312144	Q6ZSS3
ENSP00000312150	Q96RU8
ENSP00000312158	Q7KYR7
ENSP00000312185	Q92556
ENSP00000312189	Q92523
ENSP00000312222	Q9H4I2
ENSP00000312224	Q96FN9
ENSP00000312236	P38398
ENSP00000312237	Q9ULU4
ENSP00000312244	Q8N5Y2
ENSP00000312247	Q8WYA1
ENSP00000312250	Q9BRR6
ENSP00000312262	P25098
ENSP00000312272	Q96QA6
ENSP00000312273	Q8N135
ENSP00000312274	Q8IXL7
ENSP00000312277	Q8TCN5
ENSP00000312284	Q6UW49
ENSP00000312286	P04054
ENSP00000312288	Q16836
ENSP00000312293	Q13875
ENSP00000312299	A6NGY1
ENSP00000312304	P51580
ENSP00000312311	Q9H2W6
ENSP00000312318	O60232
ENSP00000312326	Q16853
ENSP00000312342	Q30201
ENSP00000312352	Q13029
ENSP00000312356	Q7L0Y3
ENSP00000312367	Q9UIB8
ENSP00000312368	Q8N9S9
ENSP00000312370	Q9BRQ8
ENSP00000312379	Q8IZD2
ENSP00000312381	Q8TCV5
ENSP00000312385	Q03828
ENSP00000312397	Q9UH77
ENSP00000312399	Q8NA47
ENSP00000312402	Q7Z7L1
ENSP00000312403	Q8NGV0
ENSP00000312411	Q8WY54
ENSP00000312415	O60225
ENSP00000312435	Q14118
ENSP00000312436	Q16621
ENSP00000312439	Q9BY78
ENSP00000312442	O75843
ENSP00000312455	O15519
ENSP00000312457	Q8WXS3
ENSP00000312458	Q9H2C2
ENSP00000312463	Q5T5Y3
ENSP00000312494	Q9Y5L3
ENSP00000312506	Q6UVK1
ENSP00000312517	O75953
ENSP00000312523	P20810
ENSP00000312529	P12110
ENSP00000312534	Q9NXR5
ENSP00000312535	Q6PJG9
ENSP00000312550	Q6UXD5
ENSP00000312554	Q6ZR08
ENSP00000312558	Q7RTX1
ENSP00000312577	Q93084
ENSP00000312584	Q8TAX9
ENSP00000312587	Q96MF6
ENSP00000312599	Q9BUB7
ENSP00000312606	P14550
ENSP00000312615	Q9H6X4
ENSP00000312617	Q13952
ENSP00000312618	Q9H845
ENSP00000312624	O15273
ENSP00000312625	Q5SSJ5
ENSP00000312631	Q01101
ENSP00000312634	Q96JY6
ENSP00000312649	Q86YN6
ENSP00000312652	P41159
ENSP00000312663	Q9UGM1
ENSP00000312664	P42575
ENSP00000312671	Q8N3D4
ENSP00000312672	Q6ZRR5
ENSP00000312673	P01241
ENSP00000312675	Q6ZMU5
ENSP00000312678	O15344
ENSP00000312679	A2RU30
ENSP00000312697	Q9NPF5
ENSP00000312700	Q7Z7M8
ENSP00000312701	Q96DN5
ENSP00000312702	Q30KQ6
ENSP00000312706	Q8IXS2
ENSP00000312709	Q15545
ENSP00000312734	Q92930
ENSP00000312735	P30876
ENSP00000312741	Q96RR4
ENSP00000312753	Q6ICB4
ENSP00000312766	P41217
ENSP00000312767	Q96MC4
ENSP00000312769	Q9UNP9
ENSP00000312770	Q8N8R5
ENSP00000312771	Q9NQX3
ENSP00000312774	Q8TDM5
ENSP00000312778	Q9P2H3
ENSP00000312782	O15231
ENSP00000312789	Q9Y463
ENSP00000312811	P57789
ENSP00000312814	Q14681
ENSP00000312834	Q9HAP2
ENSP00000312844	P49796
ENSP00000312856	Q8TAP4
ENSP00000312860	Q6ZVM7
ENSP00000312870	Q9NXL9
ENSP00000312880	O00204
ENSP00000312893	O43464
ENSP00000312939	Q06136
ENSP00000312942	Q53EL9
ENSP00000312946	Q9NY15
ENSP00000312981	Q53GS9
ENSP00000312987	P41235
ENSP00000312988	Q15653
ENSP00000312995	Q9HAW4
ENSP00000312999	P04899
ENSP00000313007	P11940
ENSP00000313021	P20794
ENSP00000313034	Q969U6
ENSP00000313046	O14514
ENSP00000313050	O75323
ENSP00000313059	Q9H4A3
ENSP00000313061	Q9H2U2
ENSP00000313062	Q6ZRS4
ENSP00000313070	O43314
ENSP00000313079	Q6UWI4
ENSP00000313084	Q63HQ2
ENSP00000313088	Q8TDF5
ENSP00000313098	Q9H9C1
ENSP00000313110	Q8NH40
ENSP00000313121	Q9Y5W7
ENSP00000313122	Q3SYG4
ENSP00000313140	Q9NVH0
ENSP00000313141	Q6TDU7
ENSP00000313158	Q8N895
ENSP00000313159	Q9NWN3
ENSP00000313169	O15259
ENSP00000313171	Q96QE3
ENSP00000313172	Q8NE79
ENSP00000313199	Q14103
ENSP00000313214	Q71RG4
ENSP00000313226	P60606
ENSP00000313243	Q4G112
ENSP00000313272	P46087
ENSP00000313309	Q9BT04
ENSP00000313311	Q99615
ENSP00000313318	Q96A29
ENSP00000313324	F5H4A9
ENSP00000313327	Q14103
ENSP00000313332	Q9NSK7
ENSP00000313350	O60930
ENSP00000313362	P56270
ENSP00000313377	Q9BZ23
ENSP00000313380	Q5SRR4
ENSP00000313382	Q8IYB5
ENSP00000313384	P30953
ENSP00000313385	Q8IUW5
ENSP00000313391	P98082
ENSP00000313397	Q9UBC3
ENSP00000313398	P51993
ENSP00000313408	Q7Z403
ENSP00000313410	Q9BZ95
ENSP00000313419	P15391
ENSP00000313420	P78527
ENSP00000313422	Q66PJ3
ENSP00000313423	Q9GZZ7
ENSP00000313432	Q9UBQ7
ENSP00000313437	Q99542
ENSP00000313443	Q8N8L2
ENSP00000313454	A0AVT1
ENSP00000313467	O60671
ENSP00000313490	O15067
ENSP00000313500	Q8N3J3
ENSP00000313504	Q93100
ENSP00000313506	Q9P2N2
ENSP00000313513	Q7Z5J8
ENSP00000313565	P15502
ENSP00000313571	P47929
ENSP00000313572	Q8IY84
ENSP00000313581	P20151
ENSP00000313582	Q9C0F3
ENSP00000313583	Q5W0Z9
ENSP00000313584	Q8N4H5
ENSP00000313600	O94823
ENSP00000313601	Q6P1N0
ENSP00000313603	Q8NE71
ENSP00000313616	Q96DH6
ENSP00000313619	Q9BZW8
ENSP00000313624	Q9BQF6
ENSP00000313670	Q60I27
ENSP00000313674	Q9Y312
ENSP00000313681	Q9NYA1
ENSP00000313691	Q8N4E7
ENSP00000313699	Q6MZM0
ENSP00000313705	Q86V48
ENSP00000313752	O43805
ENSP00000313772	Q6IPM2
ENSP00000313776	Q30201
ENSP00000313803	P47881
ENSP00000313809	Q9NP70
ENSP00000313811	Q9Y2K6
ENSP00000313816	Q96LW4
ENSP00000313818	Q969Y2
ENSP00000313829	Q07666
ENSP00000313833	Q6UWW0
ENSP00000313851	Q9NTI5
ENSP00000313854	Q96KA5
ENSP00000313869	Q9BQQ3
ENSP00000313875	P15529
ENSP00000313877	P43897
ENSP00000313881	Q13064
ENSP00000313885	Q12767
ENSP00000313919	O15231
ENSP00000313921	Q9UJ68
ENSP00000313933	Q6AI39
ENSP00000313936	Q8NHA4
ENSP00000313950	Q96GD4
ENSP00000313953	Q6P3X3
ENSP00000313978	Q9H6R4
ENSP00000313983	Q9BZ95
ENSP00000313995	Q9BQ90
ENSP00000314004	Q9UJX6
ENSP00000314006	P48751
ENSP00000314023	Q8NBJ9
ENSP00000314029	Q9H4L4
ENSP00000314030	O60884
ENSP00000314036	Q9NRZ5
ENSP00000314038	O75129
ENSP00000314042	Q96LA9
ENSP00000314048	Q9NQ90
ENSP00000314067	Q13177
ENSP00000314073	Q86TN4
ENSP00000314075	Q92667
ENSP00000314077	A6NKD2
ENSP00000314080	Q14526
ENSP00000314099	Q9Y2D0
ENSP00000314116	Q6UX40
ENSP00000314129	P19532
ENSP00000314132	Q9UMX3
ENSP00000314144	Q6NTF9
ENSP00000314151	P07288
ENSP00000314153	Q86T24
ENSP00000314157	Q5SQN1
ENSP00000314173	Q8N8I0
ENSP00000314177	Q04900
ENSP00000314193	Q8IWA0
ENSP00000314196	Q96T53
ENSP00000314209	Q8TBZ3
ENSP00000314214	P63027
ENSP00000314223	Q9GZN0
ENSP00000314242	Q5SQS7
ENSP00000314295	P0DPD7
ENSP00000314299	Q03591
ENSP00000314311	Q4G0J3
ENSP00000314324	Q8NGQ4
ENSP00000314343	Q9NX70
ENSP00000314348	Q13206
ENSP00000314363	O95819
ENSP00000314380	Q7Z429
ENSP00000314396	Q6P2P2
ENSP00000314407	P35219
ENSP00000314420	O15534
ENSP00000314425	P42701
ENSP00000314440	Q8NC06
ENSP00000314441	Q9UBP6
ENSP00000314443	Q8ND83
ENSP00000314444	Q9P2L0
ENSP00000314451	Q93038
ENSP00000314455	O75888
ENSP00000314458	P60953
ENSP00000314480	A6NJT0
ENSP00000314484	Q8N635
ENSP00000314499	O14976
ENSP00000314500	Q96FL9
ENSP00000314505	Q9NXL9
ENSP00000314508	P04062
ENSP00000314518	Q7Z3D4
ENSP00000314520	P16389
ENSP00000314543	Q96M61
ENSP00000314544	P86790
ENSP00000314556	Q9BZF9
ENSP00000314560	Q9H9H5
ENSP00000314568	P18433
ENSP00000314586	Q16620
ENSP00000314599	Q92851
ENSP00000314606	P51688
ENSP00000314608	Q9NVR0
ENSP00000314610	Q8WVC0
ENSP00000314615	Q8N6T3
ENSP00000314619	Q8N6M9
ENSP00000314620	P11836
ENSP00000314625	O95214
ENSP00000314638	P19021
ENSP00000314649	P51649
ENSP00000314650	Q8WXR4
ENSP00000314655	Q99576
ENSP00000314664	P15529
ENSP00000314669	P28290
ENSP00000314709	Q9Y6X8
ENSP00000314724	Q86W92
ENSP00000314727	P04818
ENSP00000314733	Q9H0E2
ENSP00000314736	Q4G0P3
ENSP00000314750	Q06710
ENSP00000314774	Q9BYE0
ENSP00000314776	Q68D91
ENSP00000314783	Q9H2R5
ENSP00000314787	Q92974
ENSP00000314792	Q8N9W6
ENSP00000314806	Q6PIV2
ENSP00000314807	Q9NPH3
ENSP00000314810	P56851
ENSP00000314829	Q8N5H3
ENSP00000314831	Q719H9
ENSP00000314837	Q9H0B6
ENSP00000314844	Q8N0V5
ENSP00000314850	P35813
ENSP00000314871	Q9BV20
ENSP00000314879	Q9BYJ1
ENSP00000314883	P58335
ENSP00000314897	O15123
ENSP00000314901	Q6UXK5
ENSP00000314902	P04818
ENSP00000314910	Q9UBP4
ENSP00000314914	Q8N944
ENSP00000314946	Q9NS64
ENSP00000314971	Q9H5J8
ENSP00000314976	Q9UHF4
ENSP00000314992	O14718
ENSP00000315006	O43868
ENSP00000315011	P25101
ENSP00000315013	P43155
ENSP00000315017	Q9BYD6
ENSP00000315035	Q7Z4L9
ENSP00000315047	Q8NGA8
ENSP00000315064	Q9HAY2
ENSP00000315069	Q86UA6
ENSP00000315070	Q96KN9
ENSP00000315074	Q66K79
ENSP00000315081	Q8N112
ENSP00000315098	Q14507
ENSP00000315106	Q8N3F9
ENSP00000315111	Q86YL5
ENSP00000315112	Q96EP0
ENSP00000315113	Q70IA8
ENSP00000315118	Q96D53
ENSP00000315130	P10909
ENSP00000315136	O96018
ENSP00000315137	Q8IWX5
ENSP00000315152	Q6UB28
ENSP00000315160	Q9H892
ENSP00000315173	P51814
ENSP00000315180	P41235
ENSP00000315182	Q6PI26
ENSP00000315190	P26006
ENSP00000315198	Q9BPY8
ENSP00000315203	Q8IUH2
ENSP00000315212	P78317
ENSP00000315243	P02461
ENSP00000315247	Q8NEG0
ENSP00000315252	P20849
ENSP00000315263	Q9NZD2
ENSP00000315265	Q8N1N2
ENSP00000315284	O00499
ENSP00000315295	Q6ZVL6
ENSP00000315299	P27482
ENSP00000315303	Q96Q80
ENSP00000315325	Q92974
ENSP00000315351	Q8N465
ENSP00000315357	Q8N6S5
ENSP00000315364	Q8N983
ENSP00000315370	Q6UWT4
ENSP00000315371	Q75V66
ENSP00000315379	O43395
ENSP00000315383	Q53RT3
ENSP00000315386	Q7Z4H8
ENSP00000315387	Q8N9M5
ENSP00000315388	O00499
ENSP00000315397	Q92665
ENSP00000315407	Q9NNX6
ENSP00000315410	Q9H4L5
ENSP00000315411	O00499
ENSP00000315417	Q15699
ENSP00000315434	P29590
ENSP00000315454	Q12830
ENSP00000315474	Q8NHV1
ENSP00000315476	Q9NPD3
ENSP00000315477	Q9NNX6
ENSP00000315505	P10072
ENSP00000315554	Q8N4L4
ENSP00000315557	Q53QW1
ENSP00000315558	Q96G46
ENSP00000315559	O60356
ENSP00000315564	Q3B8N2
ENSP00000315568	Q8NBF6
ENSP00000315569	Q8IYB7
ENSP00000315587	O75530
ENSP00000315599	Q13555
ENSP00000315602	P32297
ENSP00000315604	Q9NXF8
ENSP00000315614	Q6P6B1
ENSP00000315615	P24588
ENSP00000315626	Q6ZTI6
ENSP00000315628	Q96L50
ENSP00000315630	Q9UH65
ENSP00000315635	Q86YD3
ENSP00000315644	P04818
ENSP00000315650	Q8WWM7
ENSP00000315654	Q9UJ96
ENSP00000315659	Q6XZF7
ENSP00000315664	P17022
ENSP00000315674	P78316
ENSP00000315678	Q8NCR0
ENSP00000315680	O00628
ENSP00000315685	Q9UQB8
ENSP00000315693	Q9Y3D7
ENSP00000315700	Q13112
ENSP00000315702	Q9Y3A3
ENSP00000315713	Q8WYL5
ENSP00000315720	Q86Y33
ENSP00000315731	Q641Q3
ENSP00000315743	Q16589
ENSP00000315757	P13796
ENSP00000315768	P52630
ENSP00000315774	O00217
ENSP00000315791	Q12996
ENSP00000315841	O94929
ENSP00000315859	Q15287
ENSP00000315870	Q86XF7
ENSP00000315873	P12111
ENSP00000315906	Q53EQ6
ENSP00000315914	Q9Y238
ENSP00000315915	Q3ZCQ2
ENSP00000315925	Q96IJ6
ENSP00000315931	Q96HN2
ENSP00000315936	Q30201
ENSP00000315945	Q9NR16
ENSP00000315948	Q8N983
ENSP00000315949	P13378
ENSP00000315950	Q9H0A6
ENSP00000315988	Q6NUT2
ENSP00000316007	Q969E2
ENSP00000316021	Q9NRY6
ENSP00000316029	Q9Y490
ENSP00000316032	P52948
ENSP00000316034	Q9Y5K1
ENSP00000316042	Q13151
ENSP00000316051	Q6IA86
ENSP00000316053	Q8NHS0
ENSP00000316054	Q92997
ENSP00000316079	Q9H869
ENSP00000316092	Q5ST30
ENSP00000316109	Q8N302
ENSP00000316114	Q96ES7
ENSP00000316121	Q53HL2
ENSP00000316127	Q8TEB7
ENSP00000316130	Q8N205
ENSP00000316137	Q6PGQ1
ENSP00000316152	P11686
ENSP00000316173	Q9BYG0
ENSP00000316176	P61088
ENSP00000316202	Q13183
ENSP00000316224	Q8N187
ENSP00000316228	Q9H2X3
ENSP00000316233	P48048
ENSP00000316242	Q7Z4H3
ENSP00000316244	P08908
ENSP00000316250	P78411
ENSP00000316291	Q7Z6E9
ENSP00000316320	O95831
ENSP00000316329	Q86SK9
ENSP00000316333	P08174
ENSP00000316335	O95363
ENSP00000316338	Q9UQB8
ENSP00000316339	Q9NYQ3
ENSP00000316357	Q93008
ENSP00000316360	Q14406
ENSP00000316377	O14490
ENSP00000316395	Q5JZY3
ENSP00000316404	O43150
ENSP00000316410	Q9NRS6
ENSP00000316416	P0DML2
ENSP00000316434	Q5VU43
ENSP00000316454	Q6VY07
ENSP00000316460	O15117
ENSP00000316464	Q8IYJ3
ENSP00000316471	Q03013
ENSP00000316476	O15121
ENSP00000316482	Q9BQ13
ENSP00000316496	Q8NA75
ENSP00000316512	Q86UE8
ENSP00000316516	P05549
ENSP00000316518	Q8NGT5
ENSP00000316527	O15014
ENSP00000316543	Q70E73
ENSP00000316553	O95644
ENSP00000316578	Q15022
ENSP00000316589	Q6VN20
ENSP00000316596	Q8NBW4
ENSP00000316598	O43824
ENSP00000316605	Q9NQW8
ENSP00000316628	Q8N8N0
ENSP00000316632	Q01415
ENSP00000316644	Q8N5N4
ENSP00000316649	Q9H1P3
ENSP00000316651	Q9UI26
ENSP00000316664	Q969P0
ENSP00000316674	Q8TC94
ENSP00000316675	Q6DKI7
ENSP00000316681	Q9C0D2
ENSP00000316699	Q9ULT0
ENSP00000316729	Q9H4E5
ENSP00000316737	Q5T752
ENSP00000316740	Q8NA56
ENSP00000316772	Q92619
ENSP00000316775	Q6UE05
ENSP00000316779	O00499
ENSP00000316782	Q9H094
ENSP00000316786	P80365
ENSP00000316794	Q8N8U3
ENSP00000316809	Q00169
ENSP00000316842	Q8N196
ENSP00000316845	Q9NR80
ENSP00000316854	O00244
ENSP00000316861	Q13491
ENSP00000316879	Q04637
ENSP00000316881	Q8IVL5
ENSP00000316891	Q9UPQ0
ENSP00000316905	Q9H9B4
ENSP00000316909	Q8NDX2
ENSP00000316924	Q9NUB1
ENSP00000316938	Q92874
ENSP00000316940	Q5JXX7
ENSP00000316948	Q9HAZ1
ENSP00000316955	Q15622
ENSP00000316990	Q8IUR0
ENSP00000316999	Q11203
ENSP00000317000	Q9BZW5
ENSP00000317018	Q9Y6N9
ENSP00000317027	Q9P109
ENSP00000317039	Q9H9A7
ENSP00000317087	Q5T0T0
ENSP00000317095	O75952
ENSP00000317106	Q13505
ENSP00000317121	Q9UGQ2
ENSP00000317123	O75643
ENSP00000317128	Q9Y4D7
ENSP00000317144	Q8WXW3
ENSP00000317145	P39905
ENSP00000317159	P08574
ENSP00000317163	O75928
ENSP00000317165	A5PL33
ENSP00000317175	A6NEE1
ENSP00000317177	Q8N2A8
ENSP00000317189	Q14247
ENSP00000317192	Q11203
ENSP00000317214	Q9Y6Q1
ENSP00000317224	Q5PRF9
ENSP00000317232	Q96AY3
ENSP00000317261	Q8TEW8
ENSP00000317271	Q8NI22
ENSP00000317272	P08581
ENSP00000317287	Q6ZRC1
ENSP00000317289	Q7Z4H9
ENSP00000317296	Q8NFF5
ENSP00000317300	Q643R3
ENSP00000317302	O43822
ENSP00000317310	Q9NZU7
ENSP00000317327	P57075
ENSP00000317331	P51571
ENSP00000317332	Q96RF0
ENSP00000317333	Q9H2A3
ENSP00000317334	P17987
ENSP00000317342	Q16773
ENSP00000317360	P62993
ENSP00000317362	P42785
ENSP00000317374	Q9UBL6
ENSP00000317376	P82912
ENSP00000317379	O94925
ENSP00000317382	Q6YBV0
ENSP00000317385	Q4G1C9
ENSP00000317399	P29692
ENSP00000317404	Q8NET6
ENSP00000317421	P51826
ENSP00000317431	Q8IYW4
ENSP00000317439	Q3B7I2
ENSP00000317441	P49418
ENSP00000317445	Q6NUJ1
ENSP00000317463	Q8IWG1
ENSP00000317464	Q53EV4
ENSP00000317468	Q96FZ7
ENSP00000317469	Q8NFJ9
ENSP00000317473	P53611
ENSP00000317487	Q86XR8
ENSP00000317500	Q6Y2X3
ENSP00000317510	Q9H3D4
ENSP00000317519	Q9NSY2
ENSP00000317537	Q08117
ENSP00000317564	Q96D98
ENSP00000317566	Q8N3X6
ENSP00000317578	P35626
ENSP00000317579	Q96GQ5
ENSP00000317580	Q92886
ENSP00000317595	P59282
ENSP00000317598	P15692
ENSP00000317600	Q04637
ENSP00000317606	Q9Y617
ENSP00000317614	Q9C0D4
ENSP00000317619	Q8IV20
ENSP00000317636	O94762
ENSP00000317659	Q16774
ENSP00000317665	Q9BWU1
ENSP00000317671	Q86WS4
ENSP00000317674	O14791
ENSP00000317684	P26436
ENSP00000317686	Q96MM3
ENSP00000317691	Q9BUL9
ENSP00000317695	Q12986
ENSP00000317714	Q12846
ENSP00000317721	Q9P0Z9
ENSP00000317743	Q96MB7
ENSP00000317780	P20674
ENSP00000317788	P61978
ENSP00000317790	Q9NRC6
ENSP00000317804	Q9ULC8
ENSP00000317810	Q8N8Q3
ENSP00000317817	Q8N5H7
ENSP00000317818	Q8IYJ0
ENSP00000317836	Q8IV56
ENSP00000317842	O00748
ENSP00000317859	O14763
ENSP00000317872	Q7Z6E9
ENSP00000317891	Q15025
ENSP00000317895	Q6XPR3
ENSP00000317902	Q86XR8
ENSP00000317903	Q9Y2K5
ENSP00000317904	P13807
ENSP00000317955	Q15075
ENSP00000317971	Q8N5D0
ENSP00000317980	Q9UPX0
ENSP00000317985	O75116
ENSP00000317992	Q9Y3T9
ENSP00000317997	Q9NRD9
ENSP00000317998	O75818
ENSP00000318012	Q01105
ENSP00000318016	Q12768
ENSP00000318029	Q3SX64
ENSP00000318032	Q8N4K4
ENSP00000318054	P82912
ENSP00000318057	Q06889
ENSP00000318066	Q9Y6X5
ENSP00000318075	Q9NW61
ENSP00000318077	P33032
ENSP00000318085	Q9BQA5
ENSP00000318086	Q8IWC1
ENSP00000318094	Q96GD3
ENSP00000318102	Q93062
ENSP00000318103	O15245
ENSP00000318105	Q14123
ENSP00000318111	Q6V1X1
ENSP00000318113	Q8N7P3
ENSP00000318128	Q9NUP1
ENSP00000318131	Q86V59
ENSP00000318142	Q11130
ENSP00000318147	Q9BZQ6
ENSP00000318154	Q96HT8
ENSP00000318158	Q96EL2
ENSP00000318165	Q13438
ENSP00000318176	O75569
ENSP00000318177	Q96I24
ENSP00000318185	Q9Y546
ENSP00000318192	P34949
ENSP00000318195	P19338
ENSP00000318196	Q9BRX5
ENSP00000318197	Q6PEY2
ENSP00000318214	O00182
ENSP00000318217	Q08345
ENSP00000318222	Q8N966
ENSP00000318227	Q5TAQ9
ENSP00000318228	Q9H2V7
ENSP00000318234	Q96A83
ENSP00000318258	Q8WYN3
ENSP00000318259	Q676U5
ENSP00000318262	Q8TC07
ENSP00000318264	Q96FG2
ENSP00000318270	Q8N271
ENSP00000318278	Q12816
ENSP00000318297	Q9Y265
ENSP00000318298	Q96IP4
ENSP00000318313	Q9C0C7
ENSP00000318315	P05771
ENSP00000318318	P34949
ENSP00000318328	Q16288
ENSP00000318340	P17342
ENSP00000318351	P21953
ENSP00000318352	Q9Y605
ENSP00000318355	Q96PS8
ENSP00000318373	Q8N8E2
ENSP00000318374	Q96PV6
ENSP00000318406	Q8IZA0
ENSP00000318409	Q3YBM2
ENSP00000318415	Q96E39
ENSP00000318416	P57087
ENSP00000318423	Q8NG48
ENSP00000318429	Q96M63
ENSP00000318437	Q8NFU4
ENSP00000318451	Q92925
ENSP00000318472	P13591
ENSP00000318476	Q9BT40
ENSP00000318480	Q96TA2
ENSP00000318484	Q9NYV6
ENSP00000318486	Q15078
ENSP00000318494	P61077
ENSP00000318502	Q8IUE0
ENSP00000318520	Q8N271
ENSP00000318526	Q8TE04
ENSP00000318546	Q13336
ENSP00000318557	Q9UP95
ENSP00000318559	Q9H2F5
ENSP00000318575	Q9NY65
ENSP00000318585	P56817
ENSP00000318602	Q9NRG1
ENSP00000318603	Q5R372
ENSP00000318604	Q9H063
ENSP00000318607	Q86YD5
ENSP00000318615	Q86UV7
ENSP00000318629	Q8NEZ2
ENSP00000318631	O14756
ENSP00000318635	Q6EEV6
ENSP00000318641	Q68E01
ENSP00000318643	Q96J88
ENSP00000318646	P62244
ENSP00000318650	Q9H772
ENSP00000318665	Q96J77
ENSP00000318674	Q8N461
ENSP00000318676	O14948
ENSP00000318684	Q96IQ7
ENSP00000318687	Q92598
ENSP00000318690	P16383
ENSP00000318697	Q9BUF5
ENSP00000318716	Q8IZU0
ENSP00000318719	Q8TC21
ENSP00000318721	Q9H334
ENSP00000318723	Q9BZF3
ENSP00000318753	Q8NEX6
ENSP00000318770	Q8NBQ7
ENSP00000318772	Q13303
ENSP00000318775	Q9UJX5
ENSP00000318799	Q8NFJ8
ENSP00000318803	Q9HCH5
ENSP00000318804	Q8IUI8
ENSP00000318805	P34896
ENSP00000318820	P07202
ENSP00000318821	Q96CN9
ENSP00000318822	P55957
ENSP00000318834	Q8NGA5
ENSP00000318845	O43759
ENSP00000318852	O95861
ENSP00000318861	Q13435
ENSP00000318867	Q9UNU6
ENSP00000318868	P34896
ENSP00000318878	O95013
ENSP00000318883	Q9BXK5
ENSP00000318884	Q9NZ56
ENSP00000318898	Q8NC26
ENSP00000318900	A7XYQ1
ENSP00000318902	Q9H334
ENSP00000318912	Q8N1Q1
ENSP00000318914	Q8ND90
ENSP00000318916	Q9UEW3
ENSP00000318921	Q8IVI9
ENSP00000318944	Q6Q0C0
ENSP00000318956	Q8NGK3
ENSP00000318960	Q9NQQ7
ENSP00000318966	Q96BK5
ENSP00000318974	Q8N9E0
ENSP00000318977	Q17RS7
ENSP00000318982	Q96J88
ENSP00000318986	Q9H649
ENSP00000318999	Q9NQ32
ENSP00000319006	Q8IV32
ENSP00000319009	Q9NWC5
ENSP00000319020	Q8N0T1
ENSP00000319052	Q12798
ENSP00000319053	Q15935
ENSP00000319062	Q6ZW61
ENSP00000319069	O94810
ENSP00000319071	Q8NGC7
ENSP00000319096	P61225
ENSP00000319104	Q7KZ85
ENSP00000319118	Q9BZM3
ENSP00000319123	P16157
ENSP00000319127	Q8NE18
ENSP00000319139	P46734
ENSP00000319140	Q9UQ72
ENSP00000319141	Q53TN4
ENSP00000319166	Q9ULB5
ENSP00000319169	O14744
ENSP00000319170	Q86XF0
ENSP00000319179	Q8NAX2
ENSP00000319192	Q9UEE5
ENSP00000319200	Q6ZSZ5
ENSP00000319208	Q9H5I1
ENSP00000319210	Q9UNE2
ENSP00000319215	Q6UXD5
ENSP00000319217	Q8NH43
ENSP00000319222	Q7Z2F6
ENSP00000319231	Q53GA4
ENSP00000319233	Q04726
ENSP00000319240	Q96A72
ENSP00000319248	P37275
ENSP00000319250	Q9BZJ7
ENSP00000319251	Q8NCT3
ENSP00000319255	Q9UHD1
ENSP00000319281	P80723
ENSP00000319303	Q6P2D8
ENSP00000319305	Q7Z3I7
ENSP00000319308	O15539
ENSP00000319318	Q9UJ98
ENSP00000319323	Q9UBI4
ENSP00000319336	Q8N7L0
ENSP00000319341	Q969L4
ENSP00000319343	Q8TCG5
ENSP00000319361	Q10567
ENSP00000319363	Q96JB8
ENSP00000319370	Q9NPA1
ENSP00000319374	Q9NR56
ENSP00000319377	P59046
ENSP00000319384	Q9UBI4
ENSP00000319388	Q6UXC1
ENSP00000319393	Q9Y241
ENSP00000319412	Q8N2F6
ENSP00000319414	O00294
ENSP00000319417	Q8IX90
ENSP00000319429	Q9NR56
ENSP00000319464	P22792
ENSP00000319469	Q6NUQ4
ENSP00000319473	Q9UPP1
ENSP00000319474	Q9NYS7
ENSP00000319476	Q9Y6W8
ENSP00000319477	Q5XXA6
ENSP00000319482	Q8IWE4
ENSP00000319486	Q9UKR8
ENSP00000319501	O60701
ENSP00000319511	Q8NGD3
ENSP00000319531	P23434
ENSP00000319532	Q49A92
ENSP00000319546	O95047
ENSP00000319551	Q9BX46
ENSP00000319574	Q9HC21
ENSP00000319578	Q9H0S4
ENSP00000319590	Q8N4B5
ENSP00000319591	Q9UK17
ENSP00000319597	O75971
ENSP00000319601	Q8NGD1
ENSP00000319610	Q8IXF0
ENSP00000319622	O00338
ENSP00000319623	Q8TDY8
ENSP00000319635	P25025
ENSP00000319636	Q9C0J1
ENSP00000319651	Q5VZB9
ENSP00000319654	Q8NGD0
ENSP00000319664	Q9Y266
ENSP00000319673	B7ZAQ6
ENSP00000319678	P78524
ENSP00000319684	Q63HR2
ENSP00000319705	Q1HG44
ENSP00000319713	Q6RW13
ENSP00000319716	Q8IZC7
ENSP00000319726	Q9BZ67
ENSP00000319730	Q16651
ENSP00000319734	Q9HC98
